Date,Min,Average,Max,First,Last
01.01.2019 0:00,1.14595,1.14947,1.15845,1.14815,1.146
02.01.2019 0:00,1.1328,1.14102,1.14955,1.14635,1.13448
03.01.2019 0:00,1.13175,1.1371,1.14065,1.13358,1.13943
04.01.2019 0:00,1.13518,1.13975,1.14146,1.1394,1.13965
05.01.2019 0:00,1.13956,1.13956,1.13956,1.13956,1.13956
06.01.2019 0:00,1.13956,1.1396,1.1402,1.13956,1.13976
07.01.2019 0:00,1.1402,1.14434,1.14794,1.1402,1.14734
08.01.2019 0:00,1.14277,1.14479,1.14824,1.14761,1.144
09.01.2019 0:00,1.14409,1.14842,1.15521,1.14409,1.15421
10.01.2019 0:00,1.1497,1.15324,1.15683,1.15484,1.15009
11.01.2019 0:00,1.14605,1.15043,1.15352,1.14986,1.14647
12.01.2019 0:00,1.14695,1.14695,1.14695,1.14695,1.14695
13.01.2019 0:00,1.14536,1.14682,1.14695,1.14695,1.14603
14.01.2019 0:00,1.14525,1.14687,1.14795,1.14637,1.14699
15.01.2019 0:00,1.13849,1.1443,1.1489,1.14701,1.14142
16.01.2019 0:00,1.13805,1.1402,1.14217,1.14064,1.13916
17.01.2019 0:00,1.13738,1.1391,1.14045,1.13975,1.13883
18.01.2019 0:00,1.13569,1.1386,1.14081,1.13881,1.13634
19.01.2019 0:00,1.13725,1.13725,1.13725,1.13725,1.13725
20.01.2019 0:00,1.13615,1.13716,1.13725,1.13725,1.13626
21.01.2019 0:00,1.13576,1.13713,1.13868,1.1366,1.1367
22.01.2019 0:00,1.13365,1.13614,1.13735,1.13701,1.13605
23.01.2019 0:00,1.13513,1.13705,1.13941,1.13629,1.13831
24.01.2019 0:00,1.1291,1.13527,1.13914,1.13802,1.13028
25.01.2019 0:00,1.13012,1.13518,1.14169,1.1303,1.14105
26.01.2019 0:00,1.14005,1.14005,1.14005,1.14005,1.14005
27.01.2019 0:00,1.14005,1.14008,1.14091,1.14005,1.1403
28.01.2019 0:00,1.13906,1.14189,1.14435,1.14092,1.14283
29.01.2019 0:00,1.14114,1.14308,1.14502,1.14272,1.14312
30.01.2019 0:00,1.14082,1.14376,1.14997,1.14351,1.14801
31.01.2019 0:00,1.14362,1.14812,1.15134,1.14813,1.14482
01.02.2019 0:00,1.14348,1.1456,1.14881,1.14458,1.14565
02.02.2019 0:00,1.14574,1.14574,1.14574,1.14574,1.14574
03.02.2019 0:00,1.14478,1.14569,1.14597,1.14574,1.14521
04.02.2019 0:00,1.14251,1.14439,1.146,1.14561,1.14445
05.02.2019 0:00,1.14019,1.14229,1.14403,1.1436,1.14051
06.02.2019 0:00,1.13567,1.13882,1.14095,1.14048,1.13633
07.02.2019 0:00,1.13257,1.13523,1.13689,1.13658,1.13403
08.02.2019 0:00,1.13211,1.13351,1.13507,1.13426,1.13275
09.02.2019 0:00,1.13355,1.13355,1.13355,1.13355,1.13355
10.02.2019 0:00,1.13168,1.13343,1.13355,1.13355,1.13207
11.02.2019 0:00,1.12686,1.13046,1.13293,1.13193,1.12765
12.02.2019 0:00,1.12585,1.12936,1.13405,1.12761,1.13285
13.02.2019 0:00,1.12605,1.13109,1.13417,1.1329,1.12616
14.02.2019 0:00,1.12502,1.12791,1.13079,1.12563,1.12965
15.02.2019 0:00,1.12344,1.1282,1.13057,1.12957,1.12945
16.02.2019 0:00,1.12965,1.12965,1.12981,1.12965,1.12965
17.02.2019 0:00,1.12924,1.12965,1.13,1.12965,1.12929
18.02.2019 0:00,1.12898,1.1313,1.13338,1.12907,1.13106
19.02.2019 0:00,1.12766,1.13128,1.13571,1.13105,1.1343
20.02.2019 0:00,1.13255,1.13457,1.13705,1.13392,1.1338
21.02.2019 0:00,1.13222,1.13408,1.1365,1.13455,1.13377
22.02.2019 0:00,1.13183,1.13387,1.13554,1.13385,1.13345
23.02.2019 0:00,1.13415,1.13415,1.13415,1.13415,1.13415
24.02.2019 0:00,1.13288,1.13414,1.13473,1.13415,1.13367
25.02.2019 0:00,1.13353,1.13505,1.13688,1.13366,1.13571
26.02.2019 0:00,1.13461,1.1366,1.14009,1.136,1.13893
27.02.2019 0:00,1.13636,1.13824,1.14024,1.13927,1.13663
28.02.2019 0:00,1.13605,1.13836,1.14194,1.13714,1.13702
01.03.2019 0:00,1.1354,1.13719,1.14084,1.13714,1.13685
02.03.2019 0:00,1.13775,1.13775,1.13775,1.13775,1.13775
03.03.2019 0:00,1.13662,1.1378,1.13897,1.13775,1.13828
04.03.2019 0:00,1.13102,1.13475,1.13804,1.13785,1.13405
05.03.2019 0:00,1.12899,1.13218,1.1339,1.13368,1.13075
06.03.2019 0:00,1.12913,1.13047,1.13239,1.13012,1.13084
07.03.2019 0:00,1.11781,1.12756,1.13186,1.13085,1.11939
08.03.2019 0:00,1.11856,1.12152,1.12452,1.11918,1.12395
09.03.2019 0:00,1.12346,1.12395,1.12395,1.12395,1.12395
10.03.2019 0:00,1.12314,1.12391,1.124,1.12395,1.12349
11.03.2019 0:00,1.12221,1.12385,1.12571,1.12345,1.12505
12.03.2019 0:00,1.12499,1.12719,1.13046,1.12636,1.12898
13.03.2019 0:00,1.12787,1.12989,1.13373,1.12896,1.13321
14.03.2019 0:00,1.12959,1.13146,1.13378,1.13366,1.13071
15.03.2019 0:00,1.13018,1.132,1.13445,1.13059,1.13445
16.03.2019 0:00,1.13445,1.13445,1.13445,1.13445,1.13445
17.03.2019 0:00,1.13211,1.13427,1.13445,1.13445,1.13259
18.03.2019 0:00,1.12321,1.13378,1.13585,1.13265,1.13364
19.03.2019 0:00,1.1334,1.13489,1.13617,1.1335,1.13512
20.03.2019 0:00,1.13361,1.13638,1.1447,1.13537,1.14265
21.03.2019 0:00,1.1343,1.13966,1.14384,1.14221,1.13739
22.03.2019 0:00,1.12753,1.13312,1.13903,1.13768,1.13205
23.03.2019 0:00,1.13205,1.13205,1.13205,1.13205,1.13205
24.03.2019 0:00,1.12918,1.13183,1.13205,1.13205,1.12971
25.03.2019 0:00,1.12901,1.13091,1.13313,1.12957,1.13148
26.03.2019 0:00,1.12635,1.13007,1.13276,1.13145,1.12703
27.03.2019 0:00,1.12422,1.12611,1.12852,1.12752,1.12505
28.03.2019 0:00,1.12148,1.12407,1.12615,1.12497,1.12274
29.03.2019 0:00,1.12105,1.12274,1.12456,1.12285,1.12315
30.03.2019 0:00,1.12315,1.12315,1.12315,1.12315,1.12315
31.03.2019 0:00,1.12216,1.12314,1.12391,1.12315,1.123
01.04.2019 0:00,1.12044,1.12268,1.12499,1.12311,1.1212
02.04.2019 0:00,1.11835,1.1201,1.12145,1.12024,1.1207
03.04.2019 0:00,1.12019,1.12305,1.12542,1.12032,1.12321
04.04.2019 0:00,1.12089,1.1231,1.12477,1.12374,1.12203
05.04.2019 0:00,1.12111,1.12242,1.12411,1.12208,1.1217
06.04.2019 0:00,1.12325,1.12325,1.12325,1.12325,1.12325
07.04.2019 0:00,1.1215,1.12311,1.12326,1.12325,1.1215
08.04.2019 0:00,1.12151,1.12412,1.12737,1.12168,1.12629
09.04.2019 0:00,1.12555,1.12684,1.12854,1.12609,1.12664
10.04.2019 0:00,1.12307,1.12654,1.12815,1.1264,1.12736
11.04.2019 0:00,1.12506,1.12712,1.12871,1.12757,1.12575
12.04.2019 0:00,1.12565,1.12953,1.13237,1.12565,1.13035
13.04.2019 0:00,1.12765,1.13125,1.13195,1.13195,1.13195
14.04.2019 0:00,1.12975,1.13179,1.13195,1.13195,1.13054
15.04.2019 0:00,1.12991,1.13084,1.13205,1.1302,1.13059
16.04.2019 0:00,1.12803,1.12984,1.13135,1.13004,1.1283
17.04.2019 0:00,1.12799,1.13008,1.13229,1.12862,1.12982
18.04.2019 0:00,1.12265,1.12655,1.13045,1.12984,1.12315
19.04.2019 0:00,1.12313,1.12427,1.12549,1.1232,1.12448
20.04.2019 0:00,1.12465,1.12465,1.12465,1.12465,1.12465
21.04.2019 0:00,1.12439,1.12464,1.12473,1.12465,1.1245
22.04.2019 0:00,1.12363,1.12486,1.12626,1.12445,1.12575
23.04.2019 0:00,1.11931,1.12378,1.12616,1.12589,1.12269
24.04.2019 0:00,1.11417,1.11997,1.12246,1.12221,1.11545
25.04.2019 0:00,1.11214,1.11443,1.11625,1.1156,1.11315
26.04.2019 0:00,1.11225,1.11439,1.11724,1.11347,1.11495
27.04.2019 0:00,1.11635,1.11635,1.11635,1.11635,1.11635
28.04.2019 0:00,1.11424,1.11622,1.11635,1.11635,1.11465
29.04.2019 0:00,1.11452,1.11615,1.11875,1.11488,1.11869
30.04.2019 0:00,1.11762,1.12013,1.12283,1.11844,1.12149
01.05.2019 0:00,1.11885,1.12245,1.12628,1.12145,1.11966
02.05.2019 0:00,1.11707,1.11957,1.12178,1.1199,1.11757
03.05.2019 0:00,1.11409,1.11751,1.12049,1.11723,1.12005
04.05.2019 0:00,1.12115,1.12115,1.12115,1.12115,1.12115
05.05.2019 0:00,1.116,1.12081,1.12115,1.12115,1.11698
06.05.2019 0:00,1.11796,1.11937,1.12086,1.11797,1.12045
07.05.2019 0:00,1.11668,1.1195,1.12171,1.11952,1.11911
08.05.2019 0:00,1.11832,1.11984,1.12135,1.11944,1.11945
09.05.2019 0:00,1.11753,1.12031,1.12506,1.11943,1.1216
10.05.2019 0:00,1.12179,1.12313,1.12514,1.12179,1.12315
11.05.2019 0:00,1.12355,1.12355,1.12355,1.12355,1.12355
12.05.2019 0:00,1.1231,1.12353,1.12355,1.12355,1.12354
13.05.2019 0:00,1.12215,1.12355,1.1263,1.12358,1.12236
14.05.2019 0:00,1.12017,1.12257,1.12438,1.12252,1.12058
15.05.2019 0:00,1.11795,1.12035,1.12223,1.12075,1.1202
16.05.2019 0:00,1.1167,1.11976,1.12241,1.12058,1.11769
