Date,Min,Average,Max,First,Last
01.01.2024 0:00,1.10363,1.10469,1.10785,1.10546,1.10467
02.01.2024 0:00,1.09386,1.09913,1.10455,1.10455,1.09415
03.01.2024 0:00,1.08957,1.09339,1.09655,1.09415,1.09216
04.01.2024 0:00,1.09166,1.09413,1.09698,1.09215,1.09469
05.01.2024 0:00,1.08793,1.09389,1.09958,1.09469,1.09547
06.01.2024 0:00,1.09547,1.09547,1.09547,1.09547,1.09547
07.01.2024 0:00,1.09436,1.09539,1.09547,1.09547,1.09451
08.01.2024 0:00,1.09242,1.09481,1.09779,1.09455,1.09523
09.01.2024 0:00,1.09121,1.09427,1.09655,1.09523,1.09296
10.01.2024 0:00,1.09231,1.09467,1.09758,1.09296,1.09715
11.01.2024 0:00,1.0931,1.09703,1.09902,1.09715,1.09729
12.01.2024 0:00,1.09367,1.09665,1.09856,1.09727,1.09625
13.01.2024 0:00,1.09625,1.09625,1.09625,1.09625,1.09625
14.01.2024 0:00,1.09458,1.09615,1.09626,1.09625,1.09512
15.01.2024 0:00,1.09337,1.09483,1.09582,1.09495,1.09502
16.01.2024 0:00,1.08627,1.08975,1.09517,1.09502,1.08784
17.01.2024 0:00,1.08449,1.08702,1.08867,1.08784,1.08818
18.01.2024 0:00,1.08483,1.08802,1.09063,1.08819,1.08741
19.01.2024 0:00,1.08679,1.08851,1.09146,1.08737,1.09146
20.01.2024 0:00,1.09146,1.09146,1.09146,1.09146,1.09146
21.01.2024 0:00,1.08896,1.09128,1.09147,1.09146,1.08943
22.01.2024 0:00,1.08801,1.08939,1.09092,1.08931,1.08815
23.01.2024 0:00,1.08239,1.0871,1.09164,1.08815,1.08536
24.01.2024 0:00,1.08516,1.08821,1.09312,1.08529,1.08854
25.01.2024 0:00,1.08227,1.08684,1.08992,1.08857,1.08466
26.01.2024 0:00,1.08131,1.08526,1.08828,1.08466,1.08636
27.01.2024 0:00,1.08636,1.08636,1.08636,1.08636,1.08636
28.01.2024 0:00,1.08426,1.08621,1.08637,1.08636,1.08465
29.01.2024 0:00,1.07968,1.08296,1.08493,1.08462,1.08338
30.01.2024 0:00,1.08124,1.08353,1.08554,1.08342,1.08442
31.01.2024 0:00,1.07956,1.08335,1.08854,1.08442,1.08155
01.02.2024 0:00,1.078,1.08249,1.08755,1.08139,1.08732
02.02.2024 0:00,1.07805,1.08461,1.08973,1.08732,1.08067
03.02.2024 0:00,1.08067,1.08067,1.08067,1.08067,1.08067
04.02.2024 0:00,1.07807,1.08053,1.08067,1.08067,1.07807
05.02.2024 0:00,1.07244,1.07581,1.07864,1.07807,1.07437
06.02.2024 0:00,1.07242,1.07457,1.07624,1.07437,1.07546
07.02.2024 0:00,1.07546,1.07665,1.07839,1.07546,1.07736
08.02.2024 0:00,1.07428,1.07741,1.07887,1.07736,1.07788
09.02.2024 0:00,1.07625,1.07779,1.07941,1.07788,1.07846
10.02.2024 0:00,1.07846,1.07846,1.07846,1.07846,1.07846
11.02.2024 0:00,1.07805,1.07845,1.07875,1.07846,1.07853
12.02.2024 0:00,1.07574,1.07815,1.08052,1.07857,1.0773
13.02.2024 0:00,1.0701,1.07476,1.07945,1.0773,1.07124
14.02.2024 0:00,1.06953,1.07148,1.07342,1.07124,1.07267
15.02.2024 0:00,1.07244,1.07464,1.07846,1.07267,1.07723
16.02.2024 0:00,1.07342,1.07678,1.07886,1.07723,1.07776
17.02.2024 0:00,1.07776,1.07776,1.07776,1.07776,1.07776
18.02.2024 0:00,1.07746,1.07775,1.07778,1.07776,1.07757
